KEY_CODE,population
533906082,946
533906083,327
533906084,547
533906091,543
533906092,1399
533906093,618
533906094,1450
533906181,116
533906182,224
533906191,138
533906192,3
533907001,1810
533907002,1436
533907003,1096
533907004,1019
533907011,1136
533907012,904
533907013,651
533907014,1382
533907021,1663
533907022,664
533907023,1595
533907024,894
533907031,881
533907032,387
533907034,5
533907043,121
533907044,324
533907052,296
533907053,1011
533907054,896
533907061,949
533907062,4
533907063,915
533907064,25
533907082,29
533907083,28
533907084,27
533907091,20
533907092,137
533907094,68
533907101,15
533907102,196
533907111,356
533907112,1125
533907113,1
533907114,295
533907121,1126
533907122,1112
533907123,1210
533907124,1687
533907131,507
533907132,45
533907133,624
533907134,50
533907141,957
533907142,1372
533907143,144
533907144,74
533907151,1587
533907152,1613
533907153,1078
533907154,676
533907161,1153
533907162,55
533907163,285
533907164,46
533907172,4
533907173,20
533907174,22
533907181,142
533907182,67
533907183,51
533907184,128
533907192,17
533907193,96
533907212,19
533907221,516
533907222,922
533907224,185
533907231,480
533907232,23
533907233,642
533907234,209
533907241,15
533907242,25
533907243,19
533907244,1046
533907251,28
533907252,15
533907253,1247
533907254,1130
533907261,6
533907262,156
533907264,255
533907271,33
533907272,4
533907273,215
533907274,32
533907281,15
533907282,25
533907283,13
533907291,11
533907292,6
533907293,15
533907324,5
533907331,561
533907332,450
533907333,735
533907334,755
533907341,333
533907342,1807
533907343,551
533907344,693
533907351,1492
533907352,1081
533907353,592
533907354,1621
533907362,88
533907363,639
533907364,16
533907371,12
533907372,19
533907373,5
533907382,11
533907383,4
533907384,21
533907391,5
533907421,6
533907424,124
533907431,293
533907432,1393
533907433,23
533907434,1383
533907441,699
533907442,188
533907443,1358
533907444,426
533907451,257
533907452,1771
533907453,904
533907454,1297
533907461,714
533907462,433
533907463,1355
533907464,856
533907471,5
533907472,29
533907473,678
533907474,498
533907481,107
533907482,13
533907483,2
533907484,8
533907493,18
533907494,4
533907524,2
533907531,108
533907532,1339
533907533,109
533907534,1308
533907541,1388
533907542,1143
533907543,723
533907544,1692
533907551,1067
533907552,1003
533907553,1019
533907554,1926
533907561,1388
533907562,915
533907563,1307
533907564,1416
533907571,902
533907572,308
533907573,1190
533907574,47
533907582,36
533907584,91
533907591,9
533907592,74
533907593,51
533907594,24
533907631,75
533907632,1199
533907633,550
533907634,1135
533907641,1377
533907642,1246
533907643,360
533907644,943
533907651,1309
533907652,1219
533907653,1022
533907654,976
533907661,1070
533907662,1666
533907663,1818
533907664,1680
533907671,1423
533907672,6
533907673,1218
533907674,64
533907681,207
533907682,404
533907683,76
533907684,146
533907691,30
533907692,2
533907693,114
533907694,1
533907731,33
533907732,770
533907733,222
533907734,685
533907741,207
533907742,472
533907743,103
533907744,885
533907751,164
533907752,119
533907753,337
533907754,348
533907761,686
533907762,270
533907763,39
533907764,26
533907771,181
533907772,160
533907773,83
533907774,109
533907781,41
533907782,80
533907783,63
533907784,22
533907791,14
533907793,88
533907794,28
533907823,72
533907824,23
533907831,549
533907832,621
533907833,202
533907834,815
533907841,144
533907842,226
533907843,656
533907844,522
533907851,285
533907852,32
533907853,540
533907854,803
533907861,28
533907862,179
533907863,16
533907864,108
533907871,5
533907872,60
533907873,43
533907874,312
533907881,48
533907882,33
533907883,66
533907884,42
533907891,4
