KEY_CODE,population
533913202,1362
533913203,1656
533913204,2191
533913211,168
533913212,977
533913213,4
533913214,1651
533913221,2395
533913222,2256
533913223,1897
533913224,685
533913231,650
533913232,295
533913233,244
533913234,83
533913241,49
533913242,1009
533913243,696
533913244,1742
533913251,1506
533913252,336
533913253,68
533913261,1532
533913262,2779
533913263,1165
533913264,2724
533913271,2148
533913272,2878
533913273,3083
533913274,2600
533913281,479
533913282,7
533913283,611
533913284,685
533913291,248
533913292,391
533913293,816
533913294,1743
533913301,2931
533913302,936
533913303,3051
533913304,1374
533913311,1119
533913312,1411
533913313,1681
533913314,2200
533913321,2555
533913322,872
533913323,1491
533913324,1505
533913331,107
533913332,515
533913333,519
533913334,1894
533913341,404
533913342,1909
533913343,798
533913344,1018
533913361,289
533913362,2347
533913364,2933
533913371,2757
533913372,648
533913373,3587
533913374,1450
533913381,592
533913382,2243
533913383,649
533913384,772
533913391,216
533913392,2363
533913393,934
533913394,1945
533913401,2442
533913402,50
533913403,253
533913404,755
533913411,612
533913412,1391
533913413,1187
